genome,organism,dmdA,mddA,dmsA,aprA,aprB,soxA,soxB,soxC,soxX,soxY,soxZ,dsrA,dsrB
GCA_002868855.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..NA..NA..Chromatiales..bacterium,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCF_001399755.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..Thiohalorhabdus..Thiohalorhabdus..denitrificans..HL..19,,TRUE,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,
GCA_002451085.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium..UBA6908,,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,
GCF_000518365.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..NA..NA..Rhodospirillales..bacterium..URHD0088..URHD0088,,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,
GCA_003153415.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..NA..NA..Rhodospirillales..bacterium,,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,
GCA_002404095.1,Bacteria..Planctomycetes..Planctomycetia..Planctomycetales..Planctomycetaceae..NA..Planctomycetaceae..bacterium..UBA4732,,TRUE,,,,,,TRUE,,,,,
GCA_003167015.1,Bacteria..Bacteroidetes..Chitinophagia..Chitinophagales..Chitinophagaceae..NA..Chitinophagaceae..bacterium,,TRUE,,,,,,TRUE,,,,,
GCA_002796975.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..Ferrovibrio..Ferrovibrio..sp,,TRUE,,,,,,,,,TRUE,,
GCA_003230085.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium,,TRUE,,,,,,,,,,TRUE,TRUE
GCA_003223145.1,Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium,,TRUE,,,,,,,,,,,
GCA_003158585.1,Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium,,TRUE,,,,,,,,,,,
GCA_001872725.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium..CG1..02..64..396,,TRUE,,,,,,,,,,,
GCA_002343185.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium..UBA2409,,TRUE,,,,,,,,,,,
GCF_000018105.1,Bacteria..Cyanobacteria..NA..Synechococcales..Acaryochloridaceae..Acaryochloris..Acaryochloris..marina..MBIC11017,,TRUE,,,,,,,,,,,
GCA_003137095.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium,,TRUE,,,,,,,,,,,
GCA_002863065.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium,,TRUE,,,,,,,,,,,
GCA_002338715.1,Bacteria..Planctomycetes..Phycisphaerae..Phycisphaerales..NA..NA..Phycisphaerales..bacterium..UBA1845,,TRUE,,,,,,,,,,,
GCA_001447805.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Chromatiaceae..Candidatus..Tenderia..Candidatus..Tenderia..electrophaga,,TRUE,,,,,,,,,,,
GCA_002340345.1,Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..UBA2562,,TRUE,,,,,,,,,,,
GCA_002400775.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium,,TRUE,,,,,,,,,,,
GCA_001563325.1,Archaea..Candidatus..Thorarchaeota..NA..NA..NA..NA..Candidatus..Thorarchaeota..archaeon..SMTZ1..83,,TRUE,,,,,,,,,,,
GCA_003247575.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium,,TRUE,,,,,,,,,,,
GCA_002746235.1,Bacteria..Planctomycetes..NA..NA..NA..NA..Planctomycetes..bacterium,,TRUE,,,,,,,,,,,
GCA_003246265.1,Bacteria..Kiritimatiellaeota..Kiritimatiellae..Kiritimatiellales..NA..NA..Kiritimatiellales..bacterium,,TRUE,,,,,,,,,,,
GCA_001780825.1,Bacteria..Candidatus..Glassbacteria..NA..NA..NA..NA..Candidatus..Glassbacteria..bacterium..RIFCSPLOWO2..12..FULL..58..11,,TRUE,,,,,,,,,,,
GCF_000970205.1,Archaea..Euryarchaeota..Methanomicrobia..Methanosarcinales..Methanosarcinaceae..Methanosarcina..Methanosarcina..mazei..S..6,,TRUE,,,,,,,,,,,
GCA_002746185.1,Bacteria..Candidatus..Hydrogenedentes..NA..NA..NA..NA..Candidatus..Hydrogenedentes..bacterium,,TRUE,,,,,,,,,,,
GCA_002862435.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium,,TRUE,,,,,,,,,,,
GCA_002790835.1,Bacteria..NA..NA..NA..NA..NA..bacterium..CG..4..9..14..3..um..filter..65..15,,TRUE,,,,,,,,,,,
GCF_001886815.1,Bacteria..Calditrichaeota..Calditrichae..Calditrichales..Calditrichaceae..Caldithrix..Caldithrix..abyssi..LF13,,TRUE,,,,,,,,,,,
GCF_000192575.1,Bacteria..Proteobacteria..Alphaproteobacteria..Sphingomonadales..Sphingomonadaceae..Novosphingobium..Novosphingobium..nitrogenifigens..DSM..19370,,TRUE,,,,,,,,,,,
GCA_002256595.1,Archaea..Euryarchaeota..Methanomicrobia..Methanosarcinales..Methanotrichaceae..Methanothrix..Methanosaeta..sp..NSP1,,TRUE,,,,,,,,,,,
GCF_900111015.1,Bacteria..Proteobacteria..Gammaproteobacteria..Nevskiales..Sinobacteraceae..Solimonas..Solimonas..aquatica..DSM..25927,,TRUE,,,,,,,,,,,
GCA_002483445.1,Bacteria..Acidobacteria..Blastocatellia..NA..NA..Chloracidobacterium..Chloracidobacterium..sp..UBA7656,,TRUE,,,,,,,,,,,
GCA_001664505.1,Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium..Mor1..Mor1,,TRUE,,,,,,,,,,,
GCA_002841995.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium..HGW..Chloroflexi..8,,TRUE,,,,,,,,,,,
GCA_002327765.1,Bacteria..NA..NA..NA..NA..NA..bacterium..UBA2219,,TRUE,,,,,,,,,,,
GCA_002699105.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Ectothiorhodospiraceae..NA..Ectothiorhodospiraceae..bacterium,,TRUE,,,,,,,,,,,
GCF_002563855.1,Bacteria..Chloroflexi..Thermoflexia..Thermoflexales..Thermoflexaceae..Thermoflexus..Thermoflexus..hugenholtzii..G233,,TRUE,,,,,,,,,,,
GCA_003219195.1,Bacteria..Verrucomicrobia..NA..NA..NA..NA..Verrucomicrobia..bacterium,,TRUE,,,,,,,,,,,
GCA_002495185.1,Archaea..Euryarchaeota..Thermoplasmata..NA..NA..NA..Thermoplasmata..archaeon..UBA184,,TRUE,,,,,,,,,,,
GCA_000526155.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..Deferrisoma..Deferrisoma..camini..S3R1,,TRUE,,,,,,,,,,,
GCA_002631715.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..NA..NA..Candidatus..Porisulfidus..sp..TsSOB,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
GCA_002731375.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
GCA_000961765.1,Bacteria..Firmicutes..Clostridia..Clostridiales..Clostridiaceae..NA..Clostridiaceae..bacterium..BRH..c20a,,,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,TRUE
GCF_900176005.1,Bacteria..Firmicutes..Clostridia..Thermoanaerobacterales..Thermoanaerobacteraceae..Thermanaeromonas..Thermanaeromonas..toyohensis..ToBE,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_000620305.1,Bacteria..Firmicutes..Clostridia..Clostridiales..Peptococcaceae..Desulfitibacter..Desulfitibacter..alkalitolerans..DSM..16504,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002375895.1,Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA3576,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_001797675.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium..RBG..13..43..22,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_002207765.1,Bacteria..Firmicutes..Clostridia..Thermoanaerobacterales..Thermoanaerobacteraceae..Calderihabitans..Calderihabitans..maritimus..KKC1,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_001797815.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium..RBG..13..61..14,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_001873285.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium..CG2..30..53..67,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_000987045.1,Bacteria..Firmicutes..Clostridia..Clostridiales..NA..NA..Clostridiales..bacterium..PH28..bin88,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_900100785.1,Bacteria..Firmicutes..Clostridia..Clostridiales..Peptococcaceae..Desulfosporosinus..Desulfosporosinus..hippei..DSM..8344,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_003229915.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium,,,TRUE,TRUE,TRUE,,,,,,,TRUE,
GCF_001742305.1,Bacteria..Firmicutes..Bacilli..Bacillales..NA..Desulfuribacillus..Desulfuribacillus..stibiiarsenatis..MLFW..2,,,TRUE,TRUE,TRUE,,,,,,,,
GCF_002257705.1,Bacteria..Firmicutes..Negativicutes..Selenomonadales..Sporomusaceae..Sporomusa..Sporomusa..silvacetica..DSM..10669,,,TRUE,TRUE,TRUE,,,,,,,,
GCF_900114615.1,Bacteria..Firmicutes..Negativicutes..Selenomonadales..Sporomusaceae..Pelosinus..Pelosinus..propionicus..DSM..13327,,,TRUE,TRUE,TRUE,,,,,,,,
GCA_003220615.1,Bacteria..Candidatus..Rokubacteria..NA..NA..NA..NA..Candidatus..Rokubacteria..bacterium,,,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,
GCA_002436065.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium..UBA6077,,,TRUE,TRUE,,,,,,,,TRUE,TRUE
GCA_001304105.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium..SM23..61,,,TRUE,TRUE,,,,,,,,TRUE,TRUE
GCA_002375925.1,Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA3575,,,TRUE,TRUE,,,,,,,,,TRUE
GCA_002347965.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium..UBA2233,,,TRUE,,,,TRUE,,,,,,
GCA_002238885.1,Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..bin95,,,TRUE,,,,,TRUE,,,TRUE,,
GCA_002238415.1,Bacteria..Proteobacteria..Deltaproteobacteria..Desulfurellales..Desulfurellaceae..NA..Desulfurellaceae..bacterium..bin18,,,TRUE,,,,,TRUE,,,TRUE,,
GCF_900079095.1,Bacteria..Candidatus..Tectomicrobia..NA..NA..NA..Candidatus..Entotheonella..Candidatus..Entotheonella..palauensis,,,TRUE,,,,,TRUE,,,TRUE,,
GCA_003152325.1,Bacteria..Acidobacteria..Acidobacteriia..Bryobacterales..NA..NA..Bryobacterales..bacterium,,,TRUE,,,,,TRUE,,,,TRUE,TRUE
GCA_002688175.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..NA..NA..Chromatiales..bacterium,,,TRUE,,,,,TRUE,,,,,
GCF_001306175.1,Bacteria..Chloroflexi..Ardenticatenia..Ardenticatenales..Ardenticatenaceae..Ardenticatena..Ardenticatena..maritima..110S,,,TRUE,,,,,TRUE,,,,,
GCF_000466385.1,Bacteria..Firmicutes..Bacilli..Bacillales..Paenibacillaceae..Aneurinibacillus..Aneurinibacillus..aneurinilyticus..ATCC..12856,,,TRUE,,,,,TRUE,,,,,
GCA_002386945.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium..UBA4575,,,TRUE,,,,,,,,TRUE,TRUE,TRUE
GCF_002224645.1,Bacteria..Firmicutes..Clostridia..Clostridiales..Peptococcaceae..Dehalobacterium..Dehalobacterium..formicoaceticum..DMC,,,TRUE,,,,,,,,,TRUE,TRUE
GCA_002328485.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium..UBA2221,,,TRUE,,,,,,,,,,
GCF_000384115.1,Bacteria..Actinobacteria..Actinobacteria..Sporichthyales..Sporichthyaceae..Sporichthya..Sporichthya..polymorpha..DSM..43042,,,TRUE,,,,,,,,,,
GCA_002376045.1,Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA3567,,,TRUE,,,,,,,,,,
GCA_001593855.1,Archaea..Candidatus..Bathyarchaeota..NA..NA..NA..NA..Candidatus..Bathyarchaeota..archaeon..B25,,,TRUE,,,,,,,,,,
GCF_000020005.1,Bacteria..Firmicutes..Clostridia..Natranaerobiales..Natranaerobiaceae..Natranaerobius..Natranaerobius..thermophilus..JW..NM..WN..LF,,,TRUE,,,,,,,,,,
GCA_003242675.1,Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium,,,TRUE,,,,,,,,,,
GCA_001771285.1,Bacteria..candidate..division..NC10..NA..NA..NA..NA..candidate..division..NC10..bacterium..RIFCSPLOWO2..12..FULL..66..18,,,TRUE,,,,,,,,,,
GCA_002717245.1,Bacteria..Proteobacteria..Alphaproteobacteria..Pelagibacterales..Pelagibacteraceae..NA..Pelagibacteraceae..bacterium,,,TRUE,,,,,,,,,,
GCA_003223635.1,Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium,,,TRUE,,,,,,,,,,
GCF_001051235.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..Candidatus..Competibacteraceae..Candidatus..Competibacter..Candidatus..Competibacter..denitrificans..Run..A..D11,,,TRUE,,,,,,,,,,
GCA_001304035.1,Bacteria..NA..NA..NA..NA..NA..bacterium..SM23..31,,,TRUE,,,,,,,,,,
GCF_000772535.1,Bacteria..Proteobacteria..Gammaproteobacteria..Pasteurellales..Pasteurellaceae..Chelonobacter..Chelonobacter..oris..1662,,,TRUE,,,,,,,,,,
GCA_002898895.1,Bacteria..NA..NA..NA..NA..NA..bacterium..HR16,,,TRUE,,,,,,,,,,
GCF_001049895.1,Bacteria..Firmicutes..Bacilli..Bacillales..Bacillaceae..Rubeoparvulum..Rubeoparvulum..massiliense..mt6,,,TRUE,,,,,,,,,,
GCF_001860525.1,Bacteria..Firmicutes..Bacilli..Bacillales..Paenibacillaceae..Paenibacillus..Paenibacillus..sp..LC231..LC231,,,TRUE,,,,,,,,,,
GCA_001775395.1,Bacteria..candidate..division..Zixibacteria..NA..NA..NA..NA..candidate..division..Zixibacteria..bacterium..RBG..16..53..22,,,TRUE,,,,,,,,,,
GCA_001775995.1,Archaea..Candidatus..Bathyarchaeota..NA..NA..NA..NA..Candidatus..Bathyarchaeota..archaeon..RBG..16..48..13,,,TRUE,,,,,,,,,,
GCA_001830835.1,Bacteria..Proteobacteria..Deltaproteobacteria..Syntrophobacterales..NA..NA..Syntrophobacterales..bacterium..GWC2..56..13,,,TRUE,,,,,,,,,,
GCF_000487995.1,Bacteria..Deferribacteres..Deferribacteres..Deferribacterales..Deferribacteraceae..Mucispirillum..Mucispirillum..schaedleri..ASF457,,,TRUE,,,,,,,,,,
GCA_002747435.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium,,,TRUE,,,,,,,,,,
GCA_002418835.1,Bacteria..Spirochaetes..Spirochaetia..NA..NA..NA..Spirochaetia..bacterium..UBA5763,,,TRUE,,,,,,,,,,
GCA_002839495.1,Bacteria..Planctomycetes..NA..NA..NA..NA..Planctomycetes..bacterium..HGW..Planctomycetes..1,,,TRUE,,,,,,,,,,
GCA_002327985.1,Bacteria..Proteobacteria..Deltaproteobacteria..Syntrophobacterales..Syntrophaceae..NA..Syntrophaceae..bacterium..UBA2188,,,TRUE,,,,,,,,,,
GCA_002400365.1,Bacteria..Chloroflexi..Anaerolineae..Anaerolineales..NA..NA..Anaerolineales..bacterium..UBA4826,,,TRUE,,,,,,,,,,
GCA_001515205.2,Archaea..Euryarchaeota..Hadesarchaea..NA..NA..NA..Hadesarchaea..archaeon..YNP..45,,,TRUE,,,,,,,,,,
GCA_001742785.1,Archaea..Candidatus..Altiarchaeota..NA..Candidatus..Altiarchaeales..NA..NA..Candidatus..Altiarchaeales..archaeon..IMC4,,,TRUE,,,,,,,,,,
GCA_002632265.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rickettsiales..Rickettsiaceae..NA..Rickettsiaceae..bacterium..MC1,,,TRUE,,,,,,,,,,
GCA_001775755.1,Bacteria..Candidatus..Aminicenantes..NA..NA..NA..NA..Candidatus..Aminicenantes..bacterium..RBG..19FT..COMBO..65..30,,,TRUE,,,,,,,,,,
GCA_001768675.1,Bacteria..Actinobacteria..NA..NA..NA..NA..Actinobacteria..bacterium..RBG..16..64..13,,,TRUE,,,,,,,,,,
GCF_000227685.2,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Ectothiorhodospiraceae..Thioalkalivibrio..Thioalkalivibrio..paradoxus..ARh..1,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
GCA_003233075.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
GCA_002007405.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium..Gsub,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
GCA_002255365.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..NA..NA..Chromatiales..bacterium..21..64..14,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
GCA_002728355.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,
GCF_002020875.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Solemya..pervernicosa..gill..symbiont,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,TRUE
GCA_002450905.1,Bacteria..Spirochaetes..Spirochaetia..NA..NA..NA..Spirochaetia..bacterium..UBA6919,,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE
GCA_003232385.1,Bacteria..NA..NA..NA..NA..NA..bacterium,,,,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE
GCA_001803795.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium..RBG..16..64..22,,,,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE
GCA_003133645.1,Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium,,,,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE
GCF_000949635.1,Bacteria..Planctomycetes..Candidatus..Brocadiae..Candidatus..Brocadiales..Candidatus..Brocadiaceae..Candidatus..Brocadia..Candidatus..Brocadia..sinica..JPN1,,,,TRUE,TRUE,,,TRUE,,,,,
GCA_002710215.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium,,,,TRUE,TRUE,,,TRUE,,,,,
