Type,H-subunit,D-subunit,K-subunit,"Genome ID","Genome name",Domain,Phylum,Order
Nif-A,ABM37652.1,ABM37651.1,ABM37650.1,GCA_000015505.1_ASM1550v1,"Polaromonas naphthalenivorans CJ2",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ABM61068.1,ABM61067.1,ABM61066.1,GCA_000015585.1_ASM1558v1,"Halorhodospira halophila SL1",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ABN77295.1,ABN77294.1,ABN77293.1,GCA_000015985.1_ASM1598v1,"Rhodobacter sphaeroides ATCC 17029",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABO58940.1,ABO58941.1,ABO58942.1,GCA_000016205.1_ASM1620v1,"Burkholderia vietnamiensis G4",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ABP70147.1,ABP70148.1,ABP70149.1,GCA_000016405.1_ASM1640v1,"Rhodobacter sphaeroides ATCC 17025",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABP79021.1,ABP79022.1,ABP79023.1,GCA_000013785.1_ASM1378v1,"Pseudomonas stutzeri A1501",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ABQ25379.1,ABQ25380.1,ABQ25381.1,GCA_000016745.1_ASM1674v1,"Geobacter uraniireducens Rf4",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ABQ37866.1,ABQ37865.1,ABQ37864.1,GCA_000015165.1_ASM1516v1,"Bradyrhizobium sp. BTAi1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABR64829.1,ABR64828.1,ABR64827.1,GCA_000017145.1_ASM1714v1,"Sinorhizobium medicae WSM419",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABS27227.1,ABS27226.1,ABS27225.1,GCA_000017505.1_ASM1750v1,"Anaeromyxobacter sp. Fw109-5",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ABS65347.1,ABS65348.1,ABS65349.1,GCA_000017645.1_ASM1764v1,"Xanthobacter autotrophicus Py2",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABW16215.1,ABW16214.1,ABW16213.1,GCA_000018005.1_ASM1800v1,"Frankia sp. EAN1pec",BACTERIAL,Actinobacteria,Actinobacteria
Nif-A,ABZ83695.1,ABZ83696.1,ABZ83697.1,GCA_000019165.1_ASM1916v1,"Heliobacterium modesticaldum Ice1",BACTERIAL,Firmicutes,Clostridia
Nif-A,ACA17917.1,ACA17918.1,ACA17919.1,GCA_000019365.1_ASM1936v1,"Methylobacterium sp. 4-46",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACB33698.1,ACB33699.1,ACB33700.1,GCA_000019785.1_ASM1978v1,"Leptothrix cholodnii SP-6",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ACB49910.1,ACB49911.1,ACB49912.1,GCA_000017845.1_ASM1784v1,"Cyanothece sp. ATCC 51142",BACTERIAL,Cyanobacteria,None
Nif-A,ACB94126.1,ACB94127.1,ACB94128.1,GCA_000019845.1_ASM1984v1,"Beijerinckia indica subsp. indica ATCC 9039",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACC76639.1,ACC76640.1,ACC76641.1,GCA_000020045.1_ASM2004v1,"Burkholderia phymatum STM815",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ACD83930.1,ACD83928.1,ACD83927.1,GCA_000019665.1_ASM1966v1,"Methylacidiphilum infernorum V4",BACTERIAL,Verrucomicrobia,None
Nif-A,ACD94376.1,ACD94375.1,ACD94374.1,GCA_000020385.1_ASM2038v1,"Geobacter lovleyi SZ",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ACE93965.1,ACE93964.1,ACE93963.1,GCA_000020265.1_ASM2026v1,"Rhizobium etli CIAT 652",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACE94049.1,ACE94048.1,ACE94047.1,GCA_000020265.1_ASM2026v1,"Rhizobium etli CIAT 652",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACF03590.1,ACF03589.1,ACF03588.1,GCA_000020445.1_ASM2044v1,"Rhodopseudomonas palustris TIE-1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACG74424.1,ACG74425.1,ACG74426.1,GCA_000020805.1_ASM2080v1,"Anaeromyxobacter sp. K",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ACH39087.1,ACH39088.1,ACH39089.1,GCA_000020725.1_ASM2072v1,"Geobacter bemidjiensis Bem",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ACH83478.1,ACH83477.1,ACH83476.1,GCA_000020825.1_ASM2082v1,"Acidithiobacillus ferrooxidans ATCC 53993",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ACI51349.1,ACI51348.1,ACI51347.1,GCA_000021325.1_ASM2132v1,"Gluconacetobacter diazotrophicus PA1 5",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACI58270.1,ACI58271.1,ACI58272.1,GCA_000021345.1_ASM2134v1,"Rhizobium leguminosarum bv. trifolii WSM2304",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACJ01032.1,ACJ01031.1,ACJ01030.1,GCA_000016185.1_ASM1618v1,"Rhodospirillum centenum SW",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACJ53724.1,ACJ53723.1,ACJ53722.1,GCA_000025125.1_ASM2512v1,"Candidatus Atelocyanobacterium thalassa isolate ALOHA",BACTERIAL,Cyanobacteria,None
Nif-A,ACK52517.1,ACK52516.1,ACK52515.1,GCA_000021745.1_ASM2174v1,"Methylocella silvestris BL2",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACK65831.1,ACK65832.1,ACK65833.1,GCA_000021805.1_ASM2180v1,"Cyanothece sp. PCC 8801",BACTERIAL,Cyanobacteria,None
Nif-A,ACK70547.1,ACK70546.1,ACK70545.1,GCA_000021825.1_ASM2182v1,"Cyanothece sp. PCC 7424",BACTERIAL,Cyanobacteria,None
Nif-A,ACL19109.1,ACL19110.1,ACL19111.1,GCA_000021925.1_ASM2192v1,"Desulfitobacterium hafniense DCB-2",BACTERIAL,Firmicutes,Clostridia
Nif-A,ACL44722.1,ACL44723.1,ACL44724.1,GCA_000022045.1_ASM2204v1,"Cyanothece sp. PCC 7425",BACTERIAL,Cyanobacteria,None
Nif-A,ACL58883.1,ACL58882.1,ACL58881.1,GCA_000022085.1_ASM2208v1,"Methylobacterium nodulans ORS 2060",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACM01736.1,ACM01735.1,ACM01734.1,GCA_000021005.1_ASM2100v1,"Rhodobacter sphaeroides KD131",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACM20925.1,ACM20926.1,ACM20928.1,GCA_000022265.1_ASM2226v1,"Geobacter daltonii FRC-32",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ACO76403.1,ACO76404.1,ACO76405.1,GCA_000021045.1_ASM2104v1,"Azotobacter vinelandii DJ",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ACQ92279.1,ACQ92280.1,ACQ92281.1,GCA_000023065.1_ASM2306v1,"Tolumonas auensis DSM 9187",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ACS59148.1,ACS59149.1,ACS59150.1,GCA_000023185.1_ASM2318v1,"Rhizobium leguminosarum bv. trifolii WSM1325",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ACS84302.1,ACS84303.1,ACS84304.1,GCA_000023545.1_ASM2354v1,"Dickeya paradisiaca Ech703",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ACT18197.1,ACT18196.1,ACT18195.1,GCA_000023645.1_ASM2364v1,"Geobacter sp. M21",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ACU32734.1,ACU32733.1,ACU32732.1,GCA_000025465.1_ASM2546v1,"Klebsiella variicola At-22",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ACV00712.1,ACV00713.1,ACV00714.1,GCA_000024045.1_ASM2404v1,"Cyanothece sp. PCC 8802",BACTERIAL,Cyanobacteria,None
Nif-A,ACV37675.1,ACV37676.1,ACV37677.1,GCA_000024165.1_ASM2416v1,"Candidatus Accumulibacter phosphatis clade IIA str. UW-1",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ACV75951.1,ACV75950.1,ACV75949.1,GCA_000024245.1_ASM2424v1,"Zymomonas mobilis subsp. mobilis NCIMB 11163",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ADC62805.1,ADC62804.1,ADC62803.1,GCA_000025485.1_ASM2548v1,"Allochromatium vinosum DSM 180",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ADD67822.1,ADD67823.1,ADD67824.1,GCA_000025725.1_ASM2572v1,"Denitrovibrio acetiphilus DSM 12809",BACTERIAL,Deferribacteres,Deferribacteres
Nif-A,ADE11119.1,ADE11120.1,ADE11121.1,GCA_000025705.1_ASM2570v1,"Sideroxydans lithotrophicus ES-1",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ADE84337.1,ADE84336.1,ADE84335.1,GCA_000021865.1_ASM2186v1,"Rhodobacter capsulatus SB 1003",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ADG20727.1,ADG20728.1,ADG20729.1,GCA_000092885.1_ASM9288v1,"Burkholderia sp. CCGE1002",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ADG91719.1,ADG91717.1,ADG91716.1,GCA_000092245.1_ASM9224v1,"Arcobacter nitrofigilis DSM 7299",BACTERIAL,Proteobacteria,Epsilonproteobacteria
Nif-A,ADI63610.1,ADI63609.1,ADI63608.1,GCA_000196515.1_ASM19651v1,"Anabaena azollae (Nostoc azollae' 0708)",BACTERIAL,Cyanobacteria,NA
Nif-A,ADI85572.1,ADI85571.1,ADI85570.1,GCA_000210155.1_ASM21015v1,"Geobacter sulfurreducens KN400",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ADJ64345.1,ADJ64344.1,ADJ64343.1,GCA_000143225.1_ASM14322v1,"Herbaspirillum seropedicae SmR1",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ADN00228.1,ADN00227.1,ADN00226.1,GCA_000147055.1_ASM14705v1,"Dickeya dadantii 3937",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ADN15612.1,ADN15613.1,ADN15614.1,GCA_000147335.1_ASM14733v1,"Cyanothece sp. PCC 7822",BACTERIAL,Cyanobacteria,None
Nif-A,ADP71189.1,ADP71190.1,ADP71191.1,GCA_000166055.1_ASM16605v1,"Rhodomicrobium vannielii ATCC 17100",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ADR18595.1,ADR18596.1,ADR18597.1,GCA_000183405.1_ASM18340v1,"Calditerrivibrio nitroreducens DSM 19672",BACTERIAL,Deferribacteres,Deferribacteres
Nif-A,ADR34162.1,ADR34160.1,ADR34159.1,GCA_000183725.1_ASM18372v1,"Sulfuricurvum kujiense DSM 16994",BACTERIAL,Proteobacteria,Epsilonproteobacteria
Nif-A,ADU46343.1,ADU46342.1,ADU46341.1,GCA_000177255.2_ASM17725v2,"Rhodopseudomonas palustris DX-1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ADU72689.1,ADU72688.1,ADU72687.1,GCA_000175935.2_ASM17593v2,"Pantoea sp. At-9b",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ADV14842.1,ADV14841.1,ADV14840.1,GCA_000185905.1_ASM18590v1,"Mesorhizobium ciceri biovar biserrulae WSM1271",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ADW13325.1,ADW13326.1,ADW13327.1,GCA_000175115.2_ASM17511v2,"Geobacter sp. M18",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ADY57111.1,ADY57110.1,ADY57109.1,GCA_000190635.1_ASM19063v1,"Syntrophobotulus glycolicus DSM 8271",BACTERIAL,Firmicutes,Clostridia
Nif-A,AEA83267.1,AEA83268.1,AEA83269.1,GCA_000195105.1_ASM19510v1,"Pseudomonas stutzeri DSM 4166",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AEF99883.1,AEF99884.1,AEF99885.1,GCA_000214665.1_ASM21466v1,"Methylomonas methanica MC09",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AEG07185.1,AEG07186.1,AEG07187.1,GCA_000147775.3_ASM14777v3,"Sinorhizobium meliloti BL225C",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AEG57822.1,AEG57821.1,AEG57820.1,GCA_000147795.3_ASM14779v3,"Sinorhizobium meliloti AK83",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AEH10141.1,AEH10140.1,AEH10139.1,GCA_000177615.2_ASM17761v2,"Frankia symbiont of Datisca glomerata",BACTERIAL,Actinobacteria,Actinobacteria
Nif-A,AEH63154.1,AEH63153.1,AEH63152.1,GCA_000175255.2_ASM17525v2,"Zymomonas mobilis subsp. mobilis ATCC 10988",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AEH82198.1,AEH82197.1,AEH82196.1,GCA_000218265.1_ASM21826v1,"Sinorhizobium meliloti SM11",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AEH90732.1,AEH90731.1,AEH90730.1,GCA_000176035.2_ASM17603v2,"Mesorhizobium opportunistum WSM2075",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AEI38202.1,AEI38201.1,AEI38200.1,GCA_000218875.1_ASM21887v1,"Zymomonas mobilis subsp. pomaceae ATCC 29192",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AEM47783.1,AEM47782.1,AEM47781.1,GCA_000214095.3_ASM21409v3,"Acidithiobacillus ferrivorans SS3",BACTERIAL,Proteobacteria,Acidithiobacillia
Nif-A,AEO47511.1,AEO47512.1,AEO47513.1,GCA_000225955.1_ASM22595v1,"Rhodospirillum rubrum F11",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AET59369.1,AET59370.1,AET59371.1,GCA_000235585.1_ASM23558v1,"Paenibacillus terrae HPL-003",BACTERIAL,Firmicutes,Bacilli
Nif-A,AET70418.1,AET70417.1,AET70416.1,GCA_000235605.1_ASM23560v1,"Desulfosporosinus orientis DSM 765",BACTERIAL,Firmicutes,Clostridia
Nif-A,AEV25360.1,AEV25361.1,AEV25362.1,GCA_000236665.1_ASM23666v1,"Dechlorosoma suillum PS",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,AEX06699.1,AEX06700.1,AEX06701.1,GCA_000240325.1_ASM24032v1,"Klebsiella oxytoca KCTC 1686",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AEX24158.1,AEX24159.1,AEX24160.1,GCA_000241385.1_ASM24138v1,"Vibrio sp. EJY3",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AFE61311.1,AFE61312.1,AFE61313.1,GCA_000255535.1_ASM25553v1,"Rahnella aquatilis HX2",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AFJ89853.1,AFJ89854.1,AFJ89855.1,GCA_000262695.1_ASM26269v1,"Burkholderia sp. KJ006",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,AFL68336.1,AFL68338.1,AFL68339.1,GCA_000265295.1_ASM26529v1,"Sulfurospirillum barnesii SES-3",BACTERIAL,Proteobacteria,Epsilonproteobacteria
Nif-A,AFL75500.1,AFL75501.1,AFL75502.1,GCA_000227745.3_ASM22774v3,"Thiocystis violascens DSM 198",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AFM42901.1,AFM42900.1,AFM42899.1,GCA_000255115.3_ASM25511v3,"Desulfosporosinus acidiphilus SJ4",BACTERIAL,Firmicutes,Clostridia
Nif-A,AFN33197.1,AFN33198.1,AFN33199.1,GCA_000276705.2_ASM27670v2,"Klebsiella oxytoca E718",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AFQ45849.1,AFQ45848.1,AFQ45847.1,GCA_000231385.3_ASM23138v3,"Desulfosporosinus meridiei DSM 13257",BACTERIAL,Firmicutes,Clostridia
Nif-A,AFT90593.1,AFT90594.1,AFT90595.1,GCA_000300095.1_ASM30009v1,"Burkholderia phenoliruptrix BR3459a",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,AFV03033.1,AFV03032.1,AFV03031.1,GCA_000305775.1_ASM30577v1,"Dehalobacter sp. DCA",BACTERIAL,Firmicutes,Clostridia
Nif-A,AFV06021.1,AFV06020.1,AFV06019.1,GCA_000305815.1_ASM30581v1,"Dehalobacter sp. CF",BACTERIAL,Firmicutes,Clostridia
Nif-A,AFY78732.1,AFY78733.1,AFY78734.1,GCA_000317025.1_ASM31702v1,"Pleurocapsa sp. PCC 7327",BACTERIAL,Cyanobacteria,None
Nif-A,AFY89975.1,AFY89974.1,AFY89973.1,GCA_000317125.1_ASM31712v1,"Chroococcidiopsis thermalis PCC 7203",BACTERIAL,Cyanobacteria,None
Nif-A,AFZ17178.1,AFZ17177.1,AFZ17176.1,GCA_000317515.1_ASM31751v1,"Microcoleus sp. PCC 7113",BACTERIAL,Cyanobacteria,None
