"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","pI.down","pI.up","pI.diff","GRAVY.down","GRAVY.up","GRAVY.diff"
KSM+14_NaCl,"Bacillus subtilis in 1.2 M NaCl vs control",,687,642,-0.1648,-0.1708,-0.006,0.0207,0.0064,-0.0143,-1.7934,-1.8076,-0.0142,0.4345,0.4452,0.0107,253,257.5,4.5,6.1,6.215,0.115,-0.2869,-0.2238,0.0632
KSM+14_GB,"Bacillus subtilis with vs without glycine betaine in 1.2 M NaCl",,311,559,-0.1697,-0.1612,0.0085,0.0165,0.0318,0.0153,-1.8092,-1.7886,0.0206,0.453,0.4356,-0.0174,255,259,4,6.19,5.98,-0.21,-0.2511,-0.2667,-0.0156
MGM+14_3.5,"E. coli in 3.5 vs 2 % NaCl (with glycine betaine)",,169,64,-0.153,-0.1462,0.0068,0.0429,0.0337,-0.0092,-1.7363,-1.7052,0.0311,0.3655,0.3434,-0.022,273,284,11,6.22,6.47,0.25,-0.1598,-0.165,-0.0053
MGM+14_4.5,"E. coli in 4.5 vs 2 % NaCl (with glycine betaine)",,740,579,-0.1427,-0.1521,-0.0094,0.0442,0.0046,-0.0395,-1.7141,-1.738,-0.0239,0.3608,0.35,-0.0108,257.5,313,55.5,5.92,6.52,0.6,-0.2347,-0.0676,0.1671
MGM+14_5,"E. coli in 5 vs 2 % NaCl (with glycine betaine)",,43,82,-0.1399,-0.1318,0.0082,0.0558,0.0407,-0.0151,-1.6684,-1.6639,0.0045,0.378,0.3302,-0.0478,209,245.5,36.5,5.56,5.905,0.345,-0.1302,-0.2296,-0.0993
MGM+14_5.5,"E. coli in 5.5 vs 2 % NaCl (with glycine betaine)",,79,84,-0.1476,-0.1325,0.0151,0.0335,0.0396,0.0061,-1.7046,-1.6648,0.0399,0.3655,0.3381,-0.0273,251,233,-18,6.11,6.415,0.305,-0.1869,-0.2029,-0.0161
SLM+14_5,"Enterococcus faecalis in 6.5 % NaCl vs control at 5 min",,113,69,-0.1765,-0.1828,-0.0063,0.0108,0.0048,-0.006,-1.8123,-1.8398,-0.0275,0.4696,0.4868,0.0172,216,298,82,5.39,6.13,0.74,-0.2434,-0.1641,0.0793
SLM+14_30,"Enterococcus faecalis in 6.5 % NaCl vs control at 30 min",,125,175,-0.1799,-0.1839,-0.004,0.0654,0.0373,-0.0281,-1.834,-1.8577,-0.0237,0.4978,0.4911,-0.0067,288,249,-39,5.47,5.95,0.48,-0.162,-0.1641,-0.0021
SLM+14_60,"Enterococcus faecalis in 6.5 % NaCl vs control at 60 min",,170,172,-0.175,-0.1721,0.0029,0.0853,0.0205,-0.0648,-1.8296,-1.7799,0.0497,0.489,0.4581,-0.0308,227.5,294.5,67,6.83,5.31,-1.52,-0.279,-0.2323,0.0468
FRH+15_NaCl_1h,"Salmonella enterica NaCl_1h",,113,60,-0.1662,-0.1504,0.0158,-0.034,0.0473,0.0813,-1.7882,-1.6816,0.1065,0.3814,0.3364,-0.045,244,316.5,72.5,8.06,6.21,-1.85,-0.182,-0.1272,0.0547
FRH+15_NaCl_6h,"Salmonella enterica NaCl_6h",,255,149,-0.1547,-0.1474,0.0073,0.0038,0.0339,0.0302,-1.7523,-1.7083,0.044,0.375,0.3463,-0.0287,254,316,62,6.47,6.4,-0.07,-0.1631,-0.1739,-0.0108
FRH+15_NaCl_24h,"Salmonella enterica NaCl_24h",,163,60,-0.1524,-0.152,4e-04,0.0552,-3e-04,-0.0555,-1.761,-1.6883,0.0727,0.3946,0.3501,-0.0445,254,203,-51,6.06,6.415,0.355,-0.1183,-0.184,-0.0657
FRH+15_glycerol_1h,"Salmonella enterica glycerol_1h",,300,333,-0.1451,-0.1527,-0.0077,0.0213,0.0387,0.0174,-1.6959,-1.7314,-0.0354,0.3386,0.3732,0.0346,291,273,-18,6.2,6.31,0.11,-0.1534,-0.1475,0.006
FRH+15_glycerol_6h,"Salmonella enterica glycerol_6h",,261,132,-0.1451,-0.1629,-0.0178,0.039,8e-04,-0.0383,-1.6955,-1.7728,-0.0773,0.3516,0.3779,0.0263,298,248.5,-49.5,6.11,6.575,0.465,-0.159,-0.0993,0.0596
FRH+15_glycerol_24h,"Salmonella enterica glycerol_24h",,164,67,-0.1509,-0.1506,4e-04,0.0504,-0.0078,-0.0582,-1.7274,-1.686,0.0414,0.3869,0.3605,-0.0264,272,231,-41,5.93,6.2,0.27,-0.1055,-0.1404,-0.0349
KLB+15_trans-NaCl,"Caulobacter crescentus in 40/50 mM NaCl vs M2 minimal salts medium",,209,142,-0.136,-0.1265,0.0095,0.0699,0.0294,-0.0405,-1.6585,-1.5616,0.0969,0.3245,0.2536,-0.0709,249,240.5,-8.5,6.21,6.68,0.47,-0.2303,-0.121,0.1093
KLB+15_trans-suc,"Caulobacter crescentus in 200 mM sucrose vs M2 minimal salts medium",,105,96,-0.1492,-0.1217,0.0275,0.0912,0.0301,-0.0611,-1.6717,-1.5393,0.1325,0.3333,0.2581,-0.0752,238,280.5,42.5,6.85,6.15,-0.7,-0.1849,-0.1123,0.0726
HLL17_45min,"Methylocystis sp. strain SC2 in 0.75 % NaCl vs control at 45min",,105,46,-0.1312,-0.1378,-0.0066,-0.0092,0.0253,0.0345,-1.6036,-1.6124,-0.0089,0.2281,0.2615,0.0334,237,226,-11,6.8,8.495,1.695,-0.1693,0.01,0.1792
HLL17_14h,"Methylocystis sp. strain SC2 in 0.75 % NaCl vs control at 14h",,22,75,-0.143,-0.1211,0.0218,0.0964,0.053,-0.0434,-1.6917,-1.6231,0.0685,0.3082,0.2727,-0.0355,155.5,171,15.5,9.96,8.01,-1.95,-0.3094,-0.1559,0.1536
MWZ+18,"Lactobacillus paracasei L9 with vs without 0.13% ox bile",,42,56,-0.1827,-0.1806,0.0021,0.0831,0.0449,-0.0381,-1.814,-1.8414,-0.0274,0.4656,0.4786,0.0131,289,267.5,-21.5,6.255,6.21,-0.045,-0.0309,-0.088,-0.0571
