"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","pI.down","pI.up","pI.diff","GRAVY.down","GRAVY.up","GRAVY.diff","nAA.down","nAA.up","nAA.diff"
SBB+09_Sucrose,"_Escherichia coli_ in ~2.7 Os/kg sucrose vs control",,28,37,-0.1376,-0.1691,-0.0315,-0.7664,-0.738,0.0284,6.02,6.28,0.26,-0.2651,-0.1139,0.1512,258.5,330,71.5
HMO+10_transcriptomics,"_Bacillus subtilis_ in 6% w/v NaCl vs control",,417,459,-0.1712,-0.1733,-0.0021,-0.7271,-0.7238,0.0033,5.93,6.23,0.3,-0.2653,-0.273,-0.0077,276,243,-33
BBWB12_37_2.5,"_Listeria monocytogenes_ strain H7858 in 6% NaCl at 2.5% lag-phase duration",,18,55,-0.1956,-0.1793,0.0163,-0.765,-0.7163,0.0487,5.83,5.32,-0.51,-0.155,-0.2288,-0.0738,290.5,272,-18.5
BBWB12_37_5,"_Listeria monocytogenes_ strain H7858 in 6% NaCl at 5% lag-phase duration",,85,134,-0.1857,-0.179,0.0068,-0.7058,-0.7228,-0.0171,5.89,5.245,-0.645,-0.2142,-0.2239,-0.0097,291,221.5,-69.5
BBWB12_37_10,"_Listeria monocytogenes_ strain H7858 in 6% NaCl at 10% lag-phase duration",,136,156,-0.1864,-0.1798,0.0066,-0.7018,-0.7217,-0.02,5.915,5.265,-0.65,-0.2234,-0.1994,0.024,290.5,225.5,-65
BBWB12_37_20,"_Listeria monocytogenes_ strain H7858 in 6% NaCl at 20% lag-phase duration",,58,44,-0.1822,-0.1804,0.0019,-0.7275,-0.7185,0.0091,5.855,5.44,-0.415,-0.26,-0.1313,0.1288,285,324,39
LB12_NaCl,"_Synechococcus_ sp. strain PCC 7002 in 1.5 M NaCl vs control",,311,646,-0.1636,-0.158,0.0056,-0.7631,-0.7509,0.0122,6.19,5.58,-0.61,-0.1938,-0.1524,0.0414,253,255.5,2.5
QHT+13_Gene.24.h,"_Synechocystis_ sp. PCC 6803 Gene in 4% w/v vs 0% added NaCl for 24 h",,50,48,-0.1736,-0.1606,0.013,-0.7751,-0.7225,0.0526,5.295,6.405,1.11,-0.1913,-0.1525,0.0388,172.5,246,73.5
QHT+13_Gene.48.h,"_Synechocystis_ sp. PCC 6803 Gene in 4% w/v vs 0% added NaCl for 48 h",,50,50,-0.1561,-0.1635,-0.0074,-0.7336,-0.7854,-0.0518,5.65,6.41,0.76,-0.1786,-0.1514,0.0272,189,176.5,-12.5
QHT+13_Gene.72.h,"_Synechocystis_ sp. PCC 6803 Gene in 4% w/v vs 0% added NaCl for 72 h",,50,49,-0.1503,-0.1706,-0.0203,-0.7581,-0.7509,0.0072,5.63,7.15,1.52,-0.2679,-0.1118,0.1561,176,244,68
WGB+13_N,"_Escherichia coli_ in 0.3 M NaCl vs control",,525,524,-0.1525,-0.1405,0.012,-0.7426,-0.7859,-0.0433,6.59,7.25,0.66,-0.1632,-0.1085,0.0547,253,218.5,-34.5
WGB+13_U,"_Escherichia coli_ in 0.6 M urea vs control",,337,370,-0.1506,-0.1518,-0.0012,-0.7463,-0.7443,0.002,6.31,7.835,1.525,-0.1207,-0.1564,-0.0357,272,197.5,-74.5
ADW+14_Gene,"_Bifidobacterium longum_ BBMN68 Gene with vs without 0.75 g/l ox bile",,160,76,-0.1241,-0.1124,0.0117,-0.7307,-0.7814,-0.0507,5.775,5.47,-0.305,-0.0962,-0.2656,-0.1694,323,276.5,-46.5
KKG+14_Gene_30min,"_Escherichia coli_ Gene in NaCl (0.967 aw) vs control for 30 min",,15,164,-0.1452,-0.1426,0.0026,-0.7783,-0.7519,0.0264,7.11,6.465,-0.645,-0.3796,-0.2578,0.1219,193,200,7
KKG+14_Gene_80min,"_Escherichia coli_ Gene in NaCl (0.967 aw) vs control for 80 min",,409,727,-0.1501,-0.1392,0.0109,-0.7362,-0.7525,-0.0164,6.11,6.3,0.19,-0.16,-0.2137,-0.0537,283,248,-35
KKG+14_Gene_310min,"_Escherichia coli_ Gene in NaCl (0.967 aw) vs control for 310 min",,319,571,-0.151,-0.1438,0.0071,-0.7293,-0.7506,-0.0213,6.28,6.2,-0.08,-0.1382,-0.2093,-0.0711,290,252,-38
KSM+14_NaCl,"_Bacillus subtilis_ in 1.2 M NaCl vs control",,687,642,-0.1648,-0.1708,-0.006,-0.737,-0.7474,-0.0104,6.1,6.215,0.115,-0.2869,-0.2238,0.0632,253,257.5,4.5
KSM+14_GB,"_Bacillus subtilis_ with vs without glycine betaine in 1.2 M NaCl",,311,559,-0.1697,-0.1612,0.0085,-0.7327,-0.7246,0.0081,6.19,5.98,-0.21,-0.2511,-0.2667,-0.0156,255,259,4
MGM+14_3.5,"_Escherichia coli_ in 3.5 vs 2% NaCl (with glycine betaine)",,169,64,-0.153,-0.1462,0.0068,-0.7148,-0.7287,-0.0139,6.22,6.47,0.25,-0.1598,-0.165,-0.0053,273,284,11
MGM+14_4.5,"_Escherichia coli_ in 4.5 vs 2% NaCl (with glycine betaine)",,740,579,-0.1427,-0.1521,-0.0094,-0.7216,-0.7528,-0.0312,5.92,6.52,0.6,-0.2347,-0.0676,0.1671,257.5,313,55.5
MGM+14_5,"_Escherichia coli_ in 5 vs 2% NaCl (with glycine betaine)",,43,82,-0.1399,-0.1318,0.0082,-0.7078,-0.7256,-0.0177,5.56,5.905,0.345,-0.1302,-0.2296,-0.0993,209,245.5,36.5
MGM+14_5.5,"_Escherichia coli_ in 5.5 vs 2% NaCl (with glycine betaine)",,79,84,-0.1476,-0.1325,0.0151,-0.7237,-0.7333,-0.0095,6.11,6.415,0.305,-0.1869,-0.2029,-0.0161,251,233,-18
SLM+14_5,"_Enterococcus faecalis_ in 6.5% NaCl vs control at 5 min",,113,69,-0.1765,-0.1828,-0.0063,-0.725,-0.7431,-0.0181,5.39,6.13,0.74,-0.2434,-0.1641,0.0793,216,298,82
SLM+14_30,"_Enterococcus faecalis_ in 6.5% NaCl vs control at 30 min",,125,175,-0.1799,-0.1839,-0.004,-0.6903,-0.7136,-0.0234,5.47,5.95,0.48,-0.162,-0.1641,-0.0021,288,249,-39
SLM+14_60,"_Enterococcus faecalis_ in 6.5% NaCl vs control at 60 min",,170,172,-0.175,-0.1721,0.0029,-0.6697,-0.7275,-0.0578,6.83,5.31,-1.52,-0.279,-0.2323,0.0468,227.5,294.5,67
FRH+15_NaCl_1h,"_Salmonella enterica_ in NaCl vs control for 1h h",,113,60,-0.1662,-0.1504,0.0158,-0.7954,-0.7172,0.0782,8.06,6.21,-1.85,-0.182,-0.1272,0.0547,244,316.5,72.5
FRH+15_NaCl_6h,"_Salmonella enterica_ in NaCl vs control for 6h h",,255,149,-0.1547,-0.1474,0.0073,-0.7539,-0.7298,0.0242,6.47,6.4,-0.07,-0.1631,-0.1739,-0.0108,254,316,62
FRH+15_NaCl_24h,"_Salmonella enterica_ in NaCl vs control for 24h h",,163,60,-0.1524,-0.152,4e-04,-0.7085,-0.7526,-0.0441,6.06,6.415,0.355,-0.1183,-0.184,-0.0657,254,203,-51
FRH+15_KCl_1h,"_Salmonella enterica_ in KCl vs control for 1h h",,92,45,-0.1689,-0.1558,0.0131,-0.7732,-0.7206,0.0525,8.42,6.28,-2.14,-0.1455,-0.1268,0.0187,225,330,105
FRH+15_KCl_6h,"_Salmonella enterica_ in KCl vs control for 6h h",,349,264,-0.1543,-0.1515,0.0028,-0.7527,-0.7495,0.0032,6.89,6.795,-0.095,-0.1078,-0.1881,-0.0803,265,247.5,-17.5
FRH+15_KCl_24h,"_Salmonella enterica_ in KCl vs control for 24h h",,403,182,-0.1526,-0.1376,0.015,-0.7357,-0.756,-0.0203,6.2,6.075,-0.125,-0.1548,-0.2076,-0.0529,253,318.5,65.5
FRH+15_glycerol_1h,"_Salmonella enterica_ in glycerol vs control for 1h h",,300,333,-0.1451,-0.1527,-0.0077,-0.7404,-0.7262,0.0142,6.2,6.31,0.11,-0.1534,-0.1475,0.006,291,273,-18
FRH+15_glycerol_6h,"_Salmonella enterica_ in glycerol vs control for 6h h",,261,132,-0.1451,-0.1629,-0.0178,-0.725,-0.7586,-0.0336,6.11,6.575,0.465,-0.159,-0.0993,0.0596,298,248.5,-49.5
FRH+15_glycerol_24h,"_Salmonella enterica_ in glycerol vs control for 24h h",,164,67,-0.1509,-0.1506,4e-04,-0.7111,-0.7639,-0.0528,5.93,6.2,0.27,-0.1055,-0.1404,-0.0349,272,231,-41
KLB+15_trans-NaCl,"_Caulobacter crescentus_ Gene in 40/50 mM NaCl vs M2 minimal salts medium",,209,142,-0.136,-0.1265,0.0095,-0.6973,-0.7405,-0.0432,6.21,6.68,0.47,-0.2303,-0.121,0.1093,249,240.5,-8.5
KLB+15_trans-suc,"_Caulobacter crescentus_ Gene in 200 mM sucrose vs M2 minimal salts medium",,105,96,-0.1492,-0.1217,0.0275,-0.6805,-0.7459,-0.0653,6.85,6.15,-0.7,-0.1849,-0.1123,0.0726,238,280.5,42.5
HLL17_45min,"_Methylocystis_ sp. strain SC2 in 0.75% NaCl vs control at 45min",,105,46,-0.1312,-0.1378,-0.0066,-0.7827,-0.7399,0.0429,6.8,8.495,1.695,-0.1693,0.01,0.1792,237,226,-11
HLL17_14h,"_Methylocystis_ sp. strain SC2 in 0.75% NaCl vs control at 14h",,22,75,-0.143,-0.1211,0.0218,-0.6721,-0.7137,-0.0416,9.96,8.01,-1.95,-0.3094,-0.1559,0.1536,155.5,171,15.5
MWZ+18,"_Lactobacillus paracasei_ L9 with vs without 0.13% ox bile",,42,56,-0.1827,-0.1806,0.0021,-0.6652,-0.699,-0.0338,6.255,6.21,-0.045,-0.0309,-0.088,-0.0571,289,267.5,-21.5
