"dataset","description","tags","n1","n2","Zc.down","Zc.up","Zc.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
NBM+16_G2,"T / N G2",,81,82,-0.1574,-0.1257,0.0317,-0.7647,-0.7651,-4e-04,430,584.5,154.5,110.9004,111.1915,0.291
NBM+16_G3,"T / N G3",,237,556,-0.1608,-0.1321,0.0287,-0.7669,-0.7584,0.0085,412,445,33,110.7851,112.0233,1.2381
NMB+16,"T / N",,121,426,-0.1496,-0.1339,0.0157,-0.7567,-0.7626,-0.0059,380,545.5,165.5,110.6799,111.9421,1.2622
QXC+16_T1,"T / N T1",,198,132,-0.149,-0.1288,0.0201,-0.7759,-0.7507,0.0252,436,330.5,-105.5,111.4672,112.0943,0.6271
QXC+16_T2,"T / N T2",,193,172,-0.1444,-0.1379,0.0065,-0.7758,-0.7401,0.0357,452,369.5,-82.5,111.2854,112.4032,1.1178
QXC+16_T3,"T / N T3",,202,185,-0.1475,-0.1207,0.0268,-0.7707,-0.7672,0.0035,427,373,-54,111.254,111.7668,0.5128
GJZ+17,"T / N",,26,25,-0.1261,-0.1169,0.0091,-0.7946,-0.768,0.0266,493,564,71,111.5667,110.9137,-0.653
GWS+17,"T / N",,145,191,-0.1651,-0.1422,0.0229,-0.7633,-0.7559,0.0074,412,383,-29,110.5094,111.9393,1.4299
QPP+17,"T / N",,121,72,-0.1315,-0.1314,1e-04,-0.7911,-0.7741,0.017,463,406.5,-56.5,111.6505,112.0702,0.4197
WLL+17_small,"T / N small",,48,31,-0.1369,-0.1652,-0.0283,-0.7458,-0.7083,0.0375,375,235,-140,110.3284,110.9325,0.6041
WLL+17_medium,"T / N medium",,21,39,-0.1282,-0.1291,-0.001,-0.7701,-0.7712,-0.0012,288,280,-8,111.2507,110.0901,-1.1606
WLL+17_large,"T / N large",,39,63,-0.1593,-0.1475,0.0119,-0.7669,-0.7258,0.0411,399,376,-23,111.7139,110.1877,-1.5262
WLL+17_huge,"T / N huge",,60,129,-0.1313,-0.1475,-0.0162,-0.7702,-0.7507,0.0195,359.5,475,115.5,111.0437,111.843,0.7993
BOK+18,"T / N",,108,59,-0.1223,-0.1346,-0.0123,-0.7753,-0.7631,0.0122,462.5,535,72.5,110.6011,112.5957,1.9946
YXZ+18,"T / N",,145,111,-0.1563,-0.1288,0.0275,-0.7734,-0.7397,0.0338,484,344,-140,111.4199,112.0642,0.6443
BEM+20,"T / N mouse",mouse,93,138,-0.1623,-0.1335,0.0288,-0.7848,-0.7572,0.0276,403,426.5,23.5,111.8421,111.6258,-0.2162
GZD+19_protein,"T / N protein",,403,52,-0.1572,-0.131,0.0262,-0.7748,-0.7151,0.0597,418,503,85,111.2339,111.8925,0.6586
GZD+19_phosphoprotein,"T / N phosphoprotein",,213,68,-0.1532,-0.1174,0.0358,-0.7648,-0.7423,0.0225,468,607.5,139.5,110.6339,112.7966,2.1627
JSZ+19,"T / N",,359,1649,-0.1457,-0.1236,0.0221,-0.786,-0.7558,0.0303,440,520,80,111.306,112.1561,0.8501
ZZL+19,"T / N",,162,173,-0.1446,-0.1268,0.0179,-0.7462,-0.7317,0.0145,469.5,361,-108.5,110.4966,111.742,1.2454
GZL+20,"T / N",,234,769,-0.1442,-0.1242,0.02,-0.7669,-0.7559,0.011,474,437,-37,111.429,111.966,0.537
SCL+20_differential,"T / N mitochondrial differential",,38,43,-0.1659,-0.1611,0.0048,-0.714,-0.7068,0.0072,417.5,373,-44.5,109.7191,109.0708,-0.6484
SCL+20_unique,"T / N mitochondrial unique",,419,966,-0.1491,-0.1273,0.0218,-0.7631,-0.7646,-0.0015,287,347,60,111.5322,111.7108,0.1786
