Catalogue,Accession,Length,"Num. of genomes",Completeness,Contamination,Type,Taxonomy,"Last Updated"
"UHGG v2.0.1",MGYG000000024,3641600,4,99.3,0.7,Isolate,"Paraclostridium bifermentans",2021-12-07
"UHGG v2.0.1",MGYG000000025,2822370,1,99.45,1.1,Isolate,"Staphylococcus nepalensis",2021-12-07
"UHGG v2.0.1",MGYG000000026,2527406,281,100,0,Isolate,"Catenibacterium mitsuokai",2021-12-07
"UHGG v2.0.1",MGYG000000027,2393573,215,99.81,0.55,Isolate,"Mitsuokella jalaludinii",2021-12-07
"UHGG v2.0.1",MGYG000000028,2458431,218,99.33,2.01,Isolate,"Anaerostipes hadrus_A",2021-12-07
"UHGG v2.0.1",MGYG000000029,4415875,105,93.87,0,Isolate,"Bacteroides finegoldii",2021-12-07
"UHGG v2.0.1",MGYG000000030,3025033,94,99.33,0,Isolate,"CAG-603 sp900066105",2021-12-07
"UHGG v2.0.1",MGYG000000031,3671868,40,99.37,0.32,Isolate,"Blautia_A sp900066205",2021-12-07
"UHGG v2.0.1",MGYG000000032,6969476,150,99.37,1.58,Isolate,"Hungatella effluvii",2021-12-07
"UHGG v2.0.1",MGYG000000033,3010191,1330,97.99,1.01,Isolate,"CAG-41 sp900066215",2021-12-07
"UHGG v2.0.1",MGYG000000034,2753532,2,98.66,0.13,Isolate,"Massilimaliae timonensis",2021-12-07
"UHGG v2.0.1",MGYG000000035,3529525,28,99.37,1.74,Isolate,"Blautia_A hydrogenotrophica",2021-12-07
"UHGG v2.0.1",MGYG000000036,2411078,441,99.33,0.34,Isolate,"Pseudoruminococcus massiliensis",2021-12-07
"UHGG v2.0.1",MGYG000000037,2730783,30,91.6,1.84,Isolate,"Turicibacter sp001543345",2021-12-07
"UHGG v2.0.1",MGYG000000038,3124256,577,99.42,0,Isolate,"Dorea_A longicatena",2021-12-07
"UHGG v2.0.1",MGYG000000039,2848022,221,99.32,0,Isolate,"Faecalibacterium prausnitzii_H",2021-12-07
"UHGG v2.0.1",MGYG000000040,2646772,2,98.58,2.13,Isolate,"UBA1191 sp900066305",2021-12-07
"UHGG v2.0.1",MGYG000000041,3646137,1373,99.52,1.45,Isolate,"Acetatifactor sp900066365",2021-12-07
"UHGG v2.0.1",MGYG000000042,3613218,2,97.01,0.12,Isolate,"Phocaeicola sp900066445",2021-12-07
"UHGG v2.0.1",MGYG000000043,4183533,55,98.88,0.56,Isolate,"Phocaeicola sp900066455",2021-12-07
"UHGG v2.0.1",MGYG000000044,4300426,1780,99.62,0,Isolate,"Parabacteroides merdae",2021-12-07
"UHGG v2.0.1",MGYG000000045,2722761,1268,99.06,0,Isolate,"Faecalibacillus intestinalis",2021-12-07
"UHGG v2.0.1",MGYG000000046,2558124,32,99.4,1.2,Isolate,"Megasphaera stantonii",2021-12-07
"UHGG v2.0.1",MGYG000000047,3448648,6,96.77,3.41,Isolate,"Clostridium disporicum_A",2021-12-07
"UHGG v2.0.1",MGYG000000048,2457227,6,98.39,1.29,Isolate,"Clostridium_P ventriculi",2021-12-07
"UHGG v2.0.1",MGYG000000049,3389401,1,98.59,0.7,Isolate,"GCA-900066495 sp900066495",2021-12-07
"UHGG v2.0.1",MGYG000000050,3884369,11,98.73,1.27,Isolate,"Blautia_A sp900066505",2021-12-07
"UHGG v2.0.1",MGYG000000051,3553306,7,99.37,0.63,Isolate,"Anaerosacchariphilus sp900066385",2021-12-07
"UHGG v2.0.1",MGYG000000052,3273906,17,99.33,3.36,Isolate,"Anaerostipes sp000508985",2021-12-07
"UHGG v2.0.1",MGYG000000053,2181722,1,99.52,0.48,Isolate,"Alistipes sp002358415",2021-12-07
"UHGG v2.0.1",MGYG000000054,5213730,1,98.88,0.09,Isolate,"Bacteroides acidifaciens",2021-12-07
"UHGG v2.0.1",MGYG000000055,3235245,1,97.92,0.38,Isolate,"Muribaculum intestinale",2021-12-07
"UHGG v2.0.1",MGYG000000056,3324937,3,99.43,0.75,Isolate,"Muribaculum sp002358615",2021-12-07
"UHGG v2.0.1",MGYG000000057,4370351,1,98.51,0.37,Isolate,"Bacteroides sp002491635",2021-12-07
"UHGG v2.0.1",MGYG000000058,3448185,1,97.91,2.11,Isolate,"Eubacterium_I sp900066595",2021-12-07
"UHGG v2.0.1",MGYG000000059,2886884,19,99.33,0,Isolate,"Lawsonibacter sp900066645",2021-12-07
"UHGG v2.0.1",MGYG000000060,3236509,3164,98.66,0,Isolate,"Lachnospira eligens_A",2021-12-07
"UHGG v2.0.1",MGYG000000061,2183788,3,99.19,0.81,Isolate,"Collinsella aerofaciens_E",2021-12-07
"UHGG v2.0.1",MGYG000000062,3140386,88,100,0,Isolate,"Intestinibacter bartlettii",2021-12-07
"UHGG v2.0.1",MGYG000000063,4293331,1,100,0.71,Isolate,"Emergencia sp900066695",2021-12-07
"UHGG v2.0.1",MGYG000000064,3139911,12,99.19,1.61,Isolate,"Clostridium baratii",2021-12-07
"UHGG v2.0.1",MGYG000000065,3036063,15,99.33,2.68,Isolate,"Anaerostipes sp900066705",2021-12-07
"UHGG v2.0.1",MGYG000000066,5871603,1,100,3.64,Isolate,"GCA-900066755 sp900066755",2021-12-07
"UHGG v2.0.1",MGYG000000067,3710135,6,95.32,0.58,Isolate,"Lachnoclostridium_B sp900066765",2021-12-07
"UHGG v2.0.1",MGYG000000068,2991491,7,99.33,0.34,Isolate,"Agathobaculum sp900291975",2021-12-07
"UHGG v2.0.1",MGYG000000069,3099132,282,99.33,0,Isolate,"Clostridium_A leptum",2021-12-07
"UHGG v2.0.1",MGYG000000070,3806775,107,97.99,0.13,Isolate,"Lawsonibacter sp900066825",2021-12-07
"UHGG v2.0.1",MGYG000000071,3913719,3,96.31,0,Isolate,"Pseudoflavonifractor capillosus",2021-12-07
"UHGG v2.0.1",MGYG000000072,2648835,182,98.66,0,Isolate,"UBA1394 sp900066845",2021-12-07
"UHGG v2.0.1",MGYG000000073,2615710,1,99.19,0.81,Isolate,"GCA-900066905 sp900066905",2021-12-07
"UHGG v2.0.1",MGYG000000074,3211686,2064,99.28,0.48,Isolate,"Alistipes onderdonkii",2021-12-07
"UHGG v2.0.1",MGYG000000075,3140683,3,99.3,0.23,Isolate,"Paraclostridium tenue",2021-12-07
"UHGG v2.0.1",MGYG000000076,4318260,1056,98.55,0.41,Isolate,"Roseburia intestinalis",2021-12-07
"UHGG v2.0.1",MGYG000000077,3184592,86,100,1.34,Isolate,"Anaerobutyricum soehngenii",2021-12-07
"UHGG v2.0.1",MGYG000000078,3032544,1861,98.66,0,Isolate,"Lachnospira rogosae_A",2021-12-07
"UHGG v2.0.1",MGYG000000079,2825544,1,99.34,0,Isolate,"Exiguobacterium sp902362975",2021-12-07
"UHGG v2.0.1",MGYG000000080,3256205,46,99.33,4.03,Isolate,"Anaerostipes caccae",2021-12-07
"UHGG v2.0.1",MGYG000000081,2502902,1,99.67,0,Isolate,"Corynebacterium propinquum",2021-12-07
"UHGG v2.0.1",MGYG000000082,3378595,2,99.93,0.13,Isolate,"Acinetobacter mesopotamicus",2021-12-07
"UHGG v2.0.1",MGYG000000083,5860218,1,98.63,3.81,Isolate,"Peribacillus simplex",2021-12-07
"UHGG v2.0.1",MGYG000000084,3006488,2168,97.28,0,Isolate,"Gemmiger formicilis",2021-12-07
"UHGG v2.0.1",MGYG000000085,2097128,549,100,0.81,Isolate,"Collinsella aerofaciens_F",2021-12-07
"UHGG v2.0.1",MGYG000000086,3340146,20,98.66,0.67,Isolate,"Lawsonibacter sp902363045",2021-12-07
"UHGG v2.0.1",MGYG000000087,3392100,210,98.73,0,Isolate,"CAG-81 sp000435795",2021-12-07
"UHGG v2.0.1",MGYG000000088,1947463,167,100,0,Isolate,"Streptococcus lutetiensis",2021-12-07
"UHGG v2.0.1",MGYG000000089,3052732,500,97.99,0,Isolate,"CAG-353 sp900066885",2021-12-07
"UHGG v2.0.1",MGYG000000090,3325516,30,99.33,0,Isolate,"Lawsonibacter sp014287875",2021-12-07
"UHGG v2.0.1",MGYG000000091,6684283,4,99.53,0.47,Isolate,"Achromobacter xylosoxidans",2021-12-07
"UHGG v2.0.1",MGYG000000092,3773903,23,99.37,0,Isolate,"UBA7160 sp902363135",2021-12-07
"UHGG v2.0.1",MGYG000000093,6212272,38,100,0.76,Isolate,"Klebsiella_A grimontii",2021-12-07
"UHGG v2.0.1",MGYG000000094,2278070,46,100,0.81,Isolate,"Collinsella sp902363125",2021-12-07
"UHGG v2.0.1",MGYG000000095,5524222,1,99.37,2.37,Isolate,"GCA-900066755 sp902363085",2021-12-07
"UHGG v2.0.1",MGYG000000096,2296803,1,99.82,0,Isolate,"Leuconostoc pseudomesenteroides",2021-12-07
"UHGG v2.0.1",MGYG000000097,1849821,23,99.3,0,Isolate,"Ligilactobacillus animalis",2021-12-07
"UHGG v2.0.1",MGYG000000098,4868436,2,99.26,0,Isolate,"Bacteroides bouchesdurhonensis",2021-12-07
"UHGG v2.0.1",MGYG000000099,4030172,638,99.33,0.13,Isolate,"Flavonifractor plautii",2021-12-07
"UHGG v2.0.1",MGYG000000100,2685351,12,99.28,1.9,Isolate,"CABIZH01 sp902363205",2021-12-07
"UHGG v2.0.1",MGYG000000101,2543489,1,98.7,0.92,Isolate,"Micrococcus luteus",2021-12-07
"UHGG v2.0.1",MGYG000000102,3838773,2,100,0,Isolate,"Terrisporobacter sp902363255",2021-12-07
"UHGG v2.0.1",MGYG000000103,4467403,2,100,2.13,Isolate,"Bacilliculturomica massiliensis",2021-12-07
"UHGG v2.0.1",MGYG000000104,3679160,2,98.39,1.7,Isolate,"Clostridium cuniculi",2021-12-07
"UHGG v2.0.1",MGYG000000105,3966085,136,99.26,0,Isolate,"Bacteroides clarus",2021-12-07
"UHGG v2.0.1",MGYG000000106,3151412,53,99.25,0,Isolate,"Enterococcus_D gallinarum",2021-12-07
"UHGG v2.0.1",MGYG000000107,5859765,135,100,0.11,Isolate,"Klebsiella_A oxytoca",2021-12-07
"UHGG v2.0.1",MGYG000000108,4739906,73,99.97,0.17,Isolate,"Citrobacter freundii",2021-12-07
"UHGG v2.0.1",MGYG000000109,2017268,2,100,0,Isolate,"Streptococcus sp004166885",2021-12-07
"UHGG v2.0.1",MGYG000000110,4775474,2,98.41,0.33,Isolate,"Kluyvera sp902363335",2021-12-07
"UHGG v2.0.1",MGYG000000111,2484103,22,100,0,Isolate,"Cutibacterium acnes",2021-12-07
"UHGG v2.0.1",MGYG000000112,3112947,1,100,0.47,Isolate,"Actinomyces sp900323545",2021-12-07
"UHGG v2.0.1",MGYG000000113,2251845,684,99.84,0.25,Isolate,"Streptococcus salivarius",2021-12-07
"UHGG v2.0.1",MGYG000000114,2012808,2,99.66,0.17,Isolate,"Streptococcus sp902363395",2021-12-07
"UHGG v2.0.1",MGYG000000115,3522150,2,98.46,1.42,Isolate,"Clostridium_J sp902363375",2021-12-07
"UHGG v2.0.1",MGYG000000116,3094176,2,100,0.33,Isolate,"Exiguobacterium_A sp902363455",2021-12-07
"UHGG v2.0.1",MGYG000000117,3354558,20,99.62,0.13,Isolate,"Barnesiella sp003150885",2021-12-07
"UHGG v2.0.1",MGYG000000118,3130551,1,98.52,0,Isolate,"NSJ-38 sp902363445",2021-12-07
"UHGG v2.0.1",MGYG000000119,3510293,39,99.36,0,Isolate,"Blautia sp000432195",2021-12-07
"UHGG v2.0.1",MGYG000000120,2173440,18,99.3,0,Isolate,"Peptoniphilus_A harei_A",2021-12-07
"UHGG v2.0.1",MGYG000000121,4357692,20,99.3,0,Isolate,"Eubacterium callanderi",2021-12-07
"UHGG v2.0.1",MGYG000000122,2560588,421,99.67,0,Isolate,"Staphylococcus epidermidis",2021-12-07
"UHGG v2.0.1",MGYG000000123,5803260,64,99.36,0,Isolate,"Blautia sp001304935",2021-12-07
"UHGG v2.0.1",MGYG000000124,5038075,7,99.55,0.33,Isolate,"Citrobacter youngae",2021-12-07
"UHGG v2.0.1",MGYG000000125,3256597,1,99.49,0.82,Isolate,"Clostridium_B tyrobutyricum",2021-12-07
"UHGG v2.0.1",MGYG000000126,4489456,2,98.58,1.42,Isolate,"BX12 sp902363595",2021-12-07
"UHGG v2.0.1",MGYG000000127,6637359,1,99.33,0.67,Isolate,"Catenibacillus sp902363555",2021-12-07
"UHGG v2.0.1",MGYG000000128,2906288,41,99.52,0.64,Isolate,"Alistipes sp902363575",2021-12-07
"UHGG v2.0.1",MGYG000000129,2720267,3,97.32,0,Isolate,"Marseille-P4683 sp900232885",2021-12-07
"UHGG v2.0.1",MGYG000000130,1967579,8,98.95,0,Isolate,"Peptoniphilus_C sp902363535",2021-12-07
"UHGG v2.0.1",MGYG000000131,3305807,3,97.99,1.34,Isolate,"Anaerotruncus rubiinfantis",2021-12-07
"UHGG v2.0.1",MGYG000000132,2897757,2,100,0.94,Isolate,"Beduini sp902363625",2021-12-07
"UHGG v2.0.1",MGYG000000133,3329211,185,99.37,0,Isolate,"Blautia_A caecimuris",2021-12-07
"UHGG v2.0.1",MGYG000000134,3162983,15,100,0.94,Isolate,"Longibaculum muris",2021-12-07
"UHGG v2.0.1",MGYG000000135,5745007,2,99.37,0.32,Isolate,"Murimonas intestini",2021-12-07
"UHGG v2.0.1",MGYG000000136,3864408,39,99.21,1.36,Isolate,"Agathobacter sp000434275",2021-12-07
"UHGG v2.0.1",MGYG000000137,4141348,8,99.37,0,Isolate,"UBA7160 sp902363665",2021-12-07
"UHGG v2.0.1",MGYG000000138,4917599,120,99.42,0,Isolate,"Parabacteroides johnsonii",2021-12-07
"UHGG v2.0.1",MGYG000000139,2758071,69,100,0.67,Isolate,"Eubacterium_G sp000434315",2021-12-07
"UHGG v2.0.1",MGYG000000140,3539979,470,100,0,Isolate,"UMGS1375 sp900066615",2021-12-07
"UHGG v2.0.1",MGYG000000141,3466199,43,99.37,0,Isolate,"UBA7182 sp003480725",2021-12-07
"UHGG v2.0.1",MGYG000000142,3538467,760,99.37,0.32,Isolate,"Blautia_A massiliensis",2021-12-07
"UHGG v2.0.1",MGYG000000143,2958073,28,99.4,0,Isolate,"Turicibacter sanguinis",2021-12-07
"UHGG v2.0.1",MGYG000000144,3314966,2578,99.62,0,Isolate,"Barnesiella intestinihominis",2021-12-07
"UHGG v2.0.1",MGYG000000145,4646417,2,99.37,0,Isolate,"Lacrimispora sp902363735",2021-12-07
"UHGG v2.0.1",MGYG000000146,3357413,147,99.42,0,Isolate,"Dorea formicigenerans",2021-12-07
"UHGG v2.0.1",MGYG000000147,4371304,3,99.59,0.02,Isolate,"Bacillus paralicheniformis",2021-12-07
"UHGG v2.0.1",MGYG000000148,2855435,367,99.37,0,Isolate,"Faecalimonas phoceensis",2021-12-07
"UHGG v2.0.1",MGYG000000149,3780856,28,99.19,1.69,Isolate,"Clostridium saudiense",2021-12-07
"UHGG v2.0.1",MGYG000000150,7470188,60,99.37,0.32,Isolate,"Hungatella sp005845265",2021-12-07
"UHGG v2.0.1",MGYG000000151,3486414,113,99.19,0,Isolate,"Clostridium paraputrificum",2021-12-07
"UHGG v2.0.1",MGYG000000152,6260407,1,99.37,0.84,Isolate,"Lacrimispora sp902363835",2021-12-07
"UHGG v2.0.1",MGYG000000153,2962513,67,98.19,1.6,Isolate,"CAG-45 sp000438375",2021-12-07
"UHGG v2.0.1",MGYG000000154,2998358,995,99.52,1.22,Isolate,"RUG115 sp900066395",2021-12-07
"UHGG v2.0.1",MGYG000000155,2346100,23,99.08,0.61,Isolate,"Weissella confusa",2021-12-07
"UHGG v2.0.1",MGYG000000156,2287007,14,100,0,Isolate,"Collinsella sp002232035",2021-12-07
"UHGG v2.0.1",MGYG000000157,3456733,10,100,1.4,Isolate,"Paraclostridium sordellii",2021-12-07
"UHGG v2.0.1",MGYG000000158,2308547,3,100,0.81,Isolate,"Collinsella sp003436275",2021-12-07
"UHGG v2.0.1",MGYG000000159,3206639,154,98.83,0.88,Isolate,"Sellimonas intestinalis",2021-12-07
"UHGG v2.0.1",MGYG000000160,2098512,28,100,0.81,Isolate,"Collinsella sp003479805",2021-12-07
"UHGG v2.0.1",MGYG000000161,2049624,47,98.94,0,Isolate,"Lactobacillus amylovorus",2021-12-07
"UHGG v2.0.1",MGYG000000162,3083618,28,99.01,0.47,Isolate,"Enterococcus_B durans",2021-12-07
"UHGG v2.0.1",MGYG000000163,2560364,3,98.02,0.87,Isolate,"Enterococcus_C asini",2021-12-07
"UHGG v2.0.1",MGYG000000164,3102552,2,98.83,0.73,Isolate,"Mediterraneibacter_A butyricigenes",2021-12-07
"UHGG v2.0.1",MGYG000000165,3899966,5,98.73,0,Isolate,"Extibacter muris",2021-12-07
"UHGG v2.0.1",MGYG000000166,1967639,55,99.18,0,Isolate,"Limosilactobacillus fermentum",2021-12-07
"UHGG v2.0.1",MGYG000000167,2290660,67,100,0.81,Isolate,"Collinsella sp002232035",2021-12-07
"UHGG v2.0.1",MGYG000000168,5206610,9,99.46,1.61,Isolate,"Butyricimonas sp003479425",2021-12-07
"UHGG v2.0.1",MGYG000000169,2836880,32,99.33,0.67,Isolate,"Eubacterium_G sp000432355",2021-12-07
"UHGG v2.0.1",MGYG000000170,3119069,141,99.52,0,Isolate,"Alistipes_A sp900240235",2021-12-07
"UHGG v2.0.1",MGYG000000171,3528861,7,99.37,0.63,Isolate,"Blautia_A sp900120195",2021-12-07
"UHGG v2.0.1",MGYG000000172,6502338,20,99.22,0,Isolate,"Enterocloster lavalensis",2021-12-07
"UHGG v2.0.1",MGYG000000173,1989881,16,100,0,Isolate,"Bulleidia moorei",2021-12-07
"UHGG v2.0.1",MGYG000000174,6515019,13,99.62,0,Isolate,"Parabacteroides faecis",2021-12-07
"UHGG v2.0.1",MGYG000000175,5055107,9,99.42,0,Isolate,"Muricomes sp000509105",2021-12-07
"UHGG v2.0.1",MGYG000000176,5921397,3,99.12,0.29,Isolate,"Muricomes oroticus",2021-12-07
"UHGG v2.0.1",MGYG000000177,2530741,787,97.99,0,Isolate,"Anaerotignum faecicola",2021-12-07
"UHGG v2.0.1",MGYG000000178,3124392,1,99.33,0,Isolate,"Lawsonibacter sp003478995",2021-12-07
"UHGG v2.0.1",MGYG000000179,6044848,79,99.37,0,Isolate,"Enterocloster aldenensis",2021-12-07
"UHGG v2.0.1",MGYG000000180,2452589,2,100,1.61,Isolate,"Collinsella sp003459505",2021-12-07
"UHGG v2.0.1",MGYG000000181,2690153,1,96.04,0.84,Isolate,"UBA9414 sp003458885",2021-12-07
"UHGG v2.0.1",MGYG000000182,2580428,7,100,0.08,Isolate,"Mitsuokella sp003458855",2021-12-07
"UHGG v2.0.1",MGYG000000183,5449115,216,99.46,0,Isolate,"Butyricimonas paravirosa",2021-12-07
"UHGG v2.0.1",MGYG000000184,3628099,4,99.37,0,Isolate,"Blautia_A luti",2021-12-07
"UHGG v2.0.1",MGYG000000185,3231072,746,99.92,0.67,Isolate,"Agathobaculum butyriciproducens",2021-12-07
"UHGG v2.0.1",MGYG000000186,2274792,78,98.11,1.25,Isolate,"Holdemanella sp003458715",2021-12-07
"UHGG v2.0.1",MGYG000000187,2804290,197,98.08,0.67,Isolate,"Lachnospira sp003537285",2021-12-07
"UHGG v2.0.1",MGYG000000188,2272898,2,100,0.81,Isolate,"Collinsella sp003462685",2021-12-07
"UHGG v2.0.1",MGYG000000189,2889110,825,99.33,0,Isolate,"Coprococcus sp900066115",2021-12-07
"UHGG v2.0.1",MGYG000000190,2845715,1662,98.66,0,Isolate,"CAG-127 sp900319515",2021-12-07
"UHGG v2.0.1",MGYG000000191,2910060,2,100,0,Isolate,"Weizmannia coagulans",2021-12-07
"UHGG v2.0.1",MGYG000000192,3744496,16,100,0.32,Isolate,"Holdemania filiformis",2021-12-07
"UHGG v2.0.1",MGYG000000193,4116467,506,97.47,1.9,Isolate,"KLE1615 sp900066985",2021-12-07
"UHGG v2.0.1",MGYG000000194,3575049,81,98.73,1.9,Isolate,"UBA9502 sp003478505",2021-12-07
"UHGG v2.0.1",MGYG000000195,3389403,244,100,0,Isolate,"Faecalibacterium prausnitzii_E",2021-12-07
"UHGG v2.0.1",MGYG000000196,6397474,579,99.41,0,Isolate,"Bacteroides thetaiotaomicron",2021-12-07
"UHGG v2.0.1",MGYG000000197,2366782,117,100,0.81,Isolate,"Collinsella sp003458415",2021-12-07
"UHGG v2.0.1",MGYG000000198,6476049,12,99.37,0,Isolate,"Enterocloster citroniae",2021-12-07
"UHGG v2.0.1",MGYG000000199,2066234,222,99.92,0,Isolate,"Streptococcus parasanguinis_B",2021-12-07
"UHGG v2.0.1",MGYG000000200,4192583,103,99.37,0,Isolate,"Blautia_A sp003471165",2021-12-07
"UHGG v2.0.1",MGYG000000201,4593677,54,99.37,0,Isolate,"Blautia_A sp900066145",2021-12-07
"UHGG v2.0.1",MGYG000000202,5162288,6,98.82,2.06,Isolate,"AF33-28 sp003477885",2021-12-07
"UHGG v2.0.1",MGYG000000203,4537346,267,99.46,0,Isolate,"Butyricimonas virosa",2021-12-07
"UHGG v2.0.1",MGYG000000204,2669364,105,99.33,0,Isolate,"Eubacterium_G sp000435815",2021-12-07
"UHGG v2.0.1",MGYG000000205,3700211,531,100,0,Isolate,"CAG-81 sp900066535",2021-12-07
"UHGG v2.0.1",MGYG000000206,2952936,33,99.22,1.75,Isolate,"Lachnoclostridium_B sp900066555",2021-12-07
"UHGG v2.0.1",MGYG000000207,2229433,3,100,1.61,Isolate,"Collinsella sp002232035",2021-12-07
"UHGG v2.0.1",MGYG000000208,2760783,593,99.33,0,Isolate,"Eubacterium_G ventriosum",2021-12-07
"UHGG v2.0.1",MGYG000000209,3107681,1116,98.66,0,Isolate,"Eubacterium_F sp003491505",2021-12-07
"UHGG v2.0.1",MGYG000000210,2261186,10,100,1.61,Isolate,Collinsella,2021-12-07
"UHGG v2.0.1",MGYG000000211,6486320,22,99.13,0.37,Isolate,"Bacteroides sp900556215",2021-12-07
"UHGG v2.0.1",MGYG000000212,3683307,151,99.37,0,Isolate,"Blautia_A obeum",2021-12-07
"UHGG v2.0.1",MGYG000000213,4347192,2,98.73,0.13,Isolate,"Blautia_A sp003477525",2021-12-07
"UHGG v2.0.1",MGYG000000214,2032518,134,100,0,Isolate,"Veillonella dispar_A",2021-12-07
"UHGG v2.0.1",MGYG000000215,3117648,405,97.9,0,Isolate,"Prevotella stercorea",2021-12-07
"UHGG v2.0.1",MGYG000000216,3676052,15,96.68,0.32,Isolate,"Blautia_A sp003474435",2021-12-07
"UHGG v2.0.1",MGYG000000217,3653823,1925,98.26,1.45,Isolate,"Acetatifactor sp900066565",2021-12-07
"UHGG v2.0.1",MGYG000000218,2599623,33,99.38,1.2,Isolate,"Acidaminococcus provencensis",2021-12-07
"UHGG v2.0.1",MGYG000000219,4238872,2,99.3,0,Isolate,"Eubacterium maltosivorans",2021-12-07
"UHGG v2.0.1",MGYG000000220,3018710,12,95.97,0.67,Isolate,"AM07-15 sp003477405",2021-12-07
"UHGG v2.0.1",MGYG000000221,3481201,1,99.62,0.26,Isolate,"Parabacteroides bouchesdurhonensis",2021-12-07
"UHGG v2.0.1",MGYG000000222,4189286,1,99.42,0.58,Isolate,"Parabacteroides sp003473295",2021-12-07
"UHGG v2.0.1",MGYG000000223,4367631,16,100,0,Isolate,"NSJ-61 sp003433845",2021-12-07
"UHGG v2.0.1",MGYG000000224,3747034,10,98.88,0,Isolate,"Bacteroides sp003545565",2021-12-07
"UHGG v2.0.1",MGYG000000225,2227255,267,98.75,0.62,Isolate,"Duodenibacillus sp003472385",2021-12-07
"UHGG v2.0.1",MGYG000000226,2362991,68,100,0.76,Isolate,"Lactococcus lactis",2021-12-07
"UHGG v2.0.1",MGYG000000227,4782975,1,99.59,1.18,Isolate,"Bacillus sonorensis",2021-12-07
"UHGG v2.0.1",MGYG000000228,2360320,10,100,1.61,Isolate,"Collinsella sp900544115",2021-12-07
"UHGG v2.0.1",MGYG000000229,2785689,20,95.91,0,Isolate,"CAG-317 sp000433215",2021-12-07
"UHGG v2.0.1",MGYG000000230,1982297,26,99.62,0,Isolate,"Lactococcus petauri",2021-12-07
"UHGG v2.0.1",MGYG000000231,3050336,1604,99.33,0,Isolate,"Coprococcus eutactus_A",2021-12-07
"UHGG v2.0.1",MGYG000000232,2317535,24,100,0.81,Isolate,"Collinsella sp902364645",2021-12-07
"UHGG v2.0.1",MGYG000000233,3325758,169,100,0,Isolate,"CAG-81 sp900066785",2021-12-07
"UHGG v2.0.1",MGYG000000234,2257969,1,99.45,0.28,Isolate,"Vagococcus teuberi",2021-12-07
"UHGG v2.0.1",MGYG000000235,4917845,31,99.7,0.65,Isolate,"Enterobacter kobei",2021-12-07
"UHGG v2.0.1",MGYG000000236,5355078,138,99.26,0,Isolate,"Bacteroides fragilis_A",2021-12-07
"UHGG v2.0.1",MGYG000000237,2323110,1,100,0.81,Isolate,"Collinsella sp003470665",2021-12-07
"UHGG v2.0.1",MGYG000000238,3499694,19,99.25,0.22,Isolate,"Enterococcus_D casseliflavus",2021-12-07
